Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
combining shape interpolation and skeleton-driven deformation in a limited but useful setting,background_claim,combining shape interpolation skeleton driven deformation limited useful setting,combining shape shape interpolation interpolation skeleton skeleton driven driven deformation deformation limited limited useful useful setting,combining shape interpolation shape interpolation skeleton interpolation skeleton driven skeleton driven deformation driven deformation limited deformation limited useful limited useful setting,0,0,,
The depth of simulation is a prevalent issue in computer graphics,background_claim,depth simulation prevalent issue computer graphics,depth simulation simulation prevalent prevalent issue issue computer computer graphics,depth simulation prevalent simulation prevalent issue prevalent issue computer issue computer graphics,0,0,,
one that is not always consciously considered,background_claim,consciously considered,consciously considered,,0,1,,not
Early approaches to animation were purely kinematic,background_claim,early approaches animation purely kinematic,early approaches approaches animation animation purely purely kinematic,early approaches animation approaches animation purely animation purely kinematic,0,0,,
an emphasis on physically based modeling appeared in the literature later,background_claim,emphasis physically based modeling appeared literature later,emphasis physically physically based based modeling modeling appeared appeared literature literature later,emphasis physically based physically based modeling based modeling appeared modeling appeared literature appeared literature later,0,0,,
Recent sophisticated approaches allow a hybrid of animator-controlled and physically governed animation as needed,background_claim,recent sophisticated approaches allow hybrid animator controlled physically governed animation needed,recent sophisticated sophisticated approaches approaches allow allow hybrid hybrid animator animator controlled controlled physically physically governed governed animation animation needed,recent sophisticated approaches sophisticated approaches allow approaches allow hybrid allow hybrid animator hybrid animator controlled animator controlled physically controlled physically governed physically governed animation governed animation needed,0,0,,
In rendering we perhaps see the opposite trend,background_claim,rendering opposite trend,rendering opposite opposite trend,rendering opposite trend,0,0,,
much of the literature a decade ago focused on ever deeper simulations of reality,background_claim,literature decade ago focused deeper simulations reality,literature decade decade ago ago focused focused deeper deeper simulations simulations reality,literature decade ago decade ago focused ago focused deeper focused deeper simulations deeper simulations reality,0,0,,
‘shallower’ imagebased approaches are attracting attention at present,background_claim,shallower imagebased approaches attracting attention present,shallower imagebased imagebased approaches approaches attracting attracting attention attention present,shallower imagebased approaches imagebased approaches attracting approaches attracting attention attracting attention present,0,0,,
in character deformation both deep and shallow approaches have their place,background_claim,character deformation deep shallow approaches place,character deformation deformation deep deep shallow shallow approaches approaches place,character deformation deep deformation deep shallow deep shallow approaches shallow approaches place,0,0,,
Deep models promise universally accurate simulation,background_claim,deep models promise universally accurate simulation,deep models models promise promise universally universally accurate accurate simulation,deep models promise models promise universally promise universally accurate universally accurate simulation,0,0,,
the importance of representing humans justifies the needed effort,background_claim,importance representing humans justifies needed effort,importance representing representing humans humans justifies justifies needed needed effort,importance representing humans representing humans justifies humans justifies needed justifies needed effort,0,0,,
The authors of these approaches acknowledge that producing anatomically plausible models is a daunting task,background_claim,authors approaches acknowledge producing anatomically plausible models daunting task,authors approaches approaches acknowledge acknowledge producing producing anatomically anatomically plausible plausible models models daunting daunting task,authors approaches acknowledge approaches acknowledge producing acknowledge producing anatomically producing anatomically plausible anatomically plausible models plausible models daunting models daunting task,0,0,,
"Pose space deformation is a shallow, purely kinematic approach to deformation",background_claim,pose space deformation shallow purely kinematic approach deformation,pose space space deformation deformation shallow shallow purely purely kinematic kinematic approach approach deformation,pose space deformation space deformation shallow deformation shallow purely shallow purely kinematic purely kinematic approach kinematic approach deformation,0,0,,
and it has consequent disadvantages,background_claim,consequent disadvantages,consequent disadvantages,,0,0,,
accuracy is reliant on the modeler/animator rather than being guaranteed by the simulation,background_claim,accuracy reliant modeler animator guaranteed simulation,accuracy reliant reliant modeler modeler animator animator guaranteed guaranteed simulation,accuracy reliant modeler reliant modeler animator modeler animator guaranteed animator guaranteed simulation,0,0,,
"our algorithm has clear advantages with respect to simplicity and generality, direct manipulation, real-time synthesis, and other criteria listed in the introduction",own_claim,algorithm clear advantages respect simplicity generality direct manipulation real time synthesis criteria listed introduction,algorithm clear clear advantages advantages respect respect simplicity simplicity generality generality direct direct manipulation manipulation real real time time synthesis synthesis criteria criteria listed listed introduction,algorithm clear advantages clear advantages respect advantages respect simplicity respect simplicity generality simplicity generality direct generality direct manipulation direct manipulation real manipulation real time real time synthesis time synthesis criteria synthesis criteria listed criteria listed introduction,0,0,,
A scattered data interpolation method is required,own_claim,scattered data interpolation method required,scattered data data interpolation interpolation method method required,scattered data interpolation data interpolation method interpolation method required,0,0,,
deformations will be sculpted at arbitrary,own_claim,deformations sculpted arbitrary,deformations sculpted sculpted arbitrary,deformations sculpted arbitrary,0,0,will,
poses,own_claim,poses,,,0,0,,
this interpolation is central to our application,own_claim,interpolation central application,interpolation central central application,interpolation central application,0,0,,
the results of the interpolation will be directly visible in the animating deformation,own_claim,results interpolation directly visible animating deformation,results interpolation interpolation directly directly visible visible animating animating deformation,results interpolation directly interpolation directly visible directly visible animating visible animating deformation,0,0,will,
we will consider the available scattered interpolation approaches before settling on a candidate,own_claim,consider available scattered interpolation approaches settling candidate,consider available available scattered scattered interpolation interpolation approaches approaches settling settling candidate,consider available scattered available scattered interpolation scattered interpolation approaches interpolation approaches settling approaches settling candidate,0,0,will,
1,data,1,,,0,0,,
2,data,2,,,0,0,,
Shepard’s method,background_claim,shepard method,shepard method,,0,0,,
is a frequently employed scattered data interpolation scheme in computer graphics,background_claim,frequently employed scattered data interpolation scheme computer graphics,frequently employed employed scattered scattered data data interpolation interpolation scheme scheme computer computer graphics,frequently employed scattered employed scattered data scattered data interpolation data interpolation scheme interpolation scheme computer scheme computer graphics,0,0,,
this simple scheme has some potentially undesirable properties,background_claim,simple scheme potentially undesirable properties,simple scheme scheme potentially potentially undesirable undesirable properties,simple scheme potentially scheme potentially undesirable potentially undesirable properties,0,0,,
A serious drawback for some applications is that the derivative of the surface is zero at the data points,background_claim,drawback applications derivative surface zero data points,drawback applications applications derivative derivative surface surface zero zero data data points,drawback applications derivative applications derivative surface derivative surface zero surface zero data zero data points,0,0,,
Figure 4,data,figure 4,figure 4,,0,0,,
"Far from the data the weights will be approximately the same, d(∞) ˆ = w ∞ d k /w ∞ 1 = d k /N",background_claim,far data weights approximately d(∞ ˆ = w ∞ d k /w ∞ 1 = d k /n,far data data weights weights approximately approximately d(∞ d(∞ ˆ ˆ = = w w ∞ ∞ d d k k /w /w ∞ ∞ 1 1 = = d d k k /n,far data weights data weights approximately weights approximately d(∞ approximately d(∞ ˆ d(∞ ˆ = ˆ = w = w ∞ w ∞ d ∞ d k d k /w k /w ∞ /w ∞ 1 ∞ 1 = 1 = d = d k d k /n,0,0,will,
the interpolated surface converges to the average of the data values,background_claim,interpolated surface converges average data values,interpolated surface surface converges converges average average data data values,interpolated surface converges surface converges average converges average data average data values,0,0,,
Radial basis functions,background_claim,radial basis functions,radial basis basis functions,radial basis functions,0,0,,
28,data,28,,,0,0,,
29,data,29,,,0,0,,
have become a popular choice for scattered interpolation,background_claim,popular choice scattered interpolation,popular choice choice scattered scattered interpolation,popular choice scattered choice scattered interpolation,0,0,,
N values of d are available,data,n values d available,n values values d d available,n values d values d available,0,0,,
the weights can be easily solved by a linear system,background_claim,weights easily solved linear system,weights easily easily solved solved linear linear system,weights easily solved easily solved linear solved linear system,0,0,can,
this can be derived either by least squares fit or by subspace projection,background_claim,derived squares fit subspace projection,derived squares squares fit fit subspace subspace projection,derived squares fit squares fit subspace fit subspace projection,0,0,can,
A least squares approach leads to the identical result,background_claim,squares approach leads identical result,squares approach approach leads leads identical identical result,squares approach leads approach leads identical leads identical result,0,0,,
Any nonlinear function φ() will interpolate the data,background_claim,nonlinear function φ interpolate data,nonlinear function function φ φ interpolate interpolate data,nonlinear function φ function φ interpolate φ interpolate data,0,0,will,
a smooth φ() will result in a smooth interpolant,background_claim,smooth φ result smooth interpolant,smooth φ φ result result smooth smooth interpolant,smooth φ result φ result smooth result smooth interpolant,0,0,will,
radial basis functions have a universal convergence property similar to Fourier series,background_claim,radial basis functions universal convergence property similar fourier series,radial basis basis functions functions universal universal convergence convergence property property similar similar fourier fourier series,radial basis functions basis functions universal functions universal convergence universal convergence property convergence property similar property similar fourier similar fourier series,0,0,,
the convergence definition is different,background_claim,convergence definition different,convergence definition definition different,convergence definition different,0,0,,
Φ T Φw = Φ T d can be solved for the familiar w = (Φ T Φ) −1 Φ T d,background_claim,φ t φw = φ t d solved familiar w = φ t φ −1 φ t d,φ t t φw φw = = φ φ t t d d solved solved familiar familiar w w = = φ φ t t φ φ −1 −1 φ φ t t d,φ t φw t φw = φw = φ = φ t φ t d t d solved d solved familiar solved familiar w familiar w = w = φ = φ t φ t φ t φ −1 φ −1 φ −1 φ t φ t d,0,0,can,
The best approximation to d in the space spanned by φ k () occurs,background_claim,best approximation d space spanned φ k occurs,best approximation approximation d d space space spanned spanned φ φ k k occurs,best approximation d approximation d space d space spanned space spanned φ spanned φ k φ k occurs,0,0,,
when the weights are such that the error d − Φw,background_claim,weights error d − φw,weights error error d d − − φw,weights error d error d − d − φw,0,0,,
is orthogonal to each of the φ k (): Φ T (Φw − d) = 0,background_claim,orthogonal φ k φ t φw − d = 0,orthogonal φ φ k k φ φ t t φw φw − − d d = = 0,orthogonal φ k φ k φ k φ t φ t φw t φw − φw − d − d = d = 0,0,0,,
the columns of Φ are independent,data,columns φ independent,columns φ φ independent,columns φ independent,0,0,,
Surfaces can,background_claim,surfaces,,,0,0,can,
be interpolated by allowing different combinations of the same basis functions in different dimensions,background_claim,interpolated allowing different combinations basis functions different dimensions,interpolated allowing allowing different different combinations combinations basis basis functions functions different different dimensions,interpolated allowing different allowing different combinations different combinations basis combinations basis functions basis functions different functions different dimensions,0,0,,
The distance can be generalized to Mahalanobis distance,background_claim,distance generalized mahalanobis distance,distance generalized generalized mahalanobis mahalanobis distance,distance generalized mahalanobis generalized mahalanobis distance,0,0,can,
4,data,4,,,0,0,,
Various visual reconstruction schemes can be adapted for scattered data interpolation,background_claim,visual reconstruction schemes adapted scattered data interpolation,visual reconstruction reconstruction schemes schemes adapted adapted scattered scattered data data interpolation,visual reconstruction schemes reconstruction schemes adapted schemes adapted scattered adapted scattered data scattered data interpolation,0,0,can,
With small λ many of these schemes can serve as scattered data interpolants,background_claim,small λ schemes serve scattered data interpolants,small λ λ schemes schemes serve serve scattered scattered data data interpolants,small λ schemes λ schemes serve schemes serve scattered serve scattered data scattered data interpolants,0,0,can,
5,data,5,,,0,0,,
is a good introduction to these approaches,background_claim,good introduction approaches,good introduction introduction approaches,good introduction approaches,0,0,,
In some of the most powerful formulations of scattered interpolation the regularizer is considered to hold everywhere except at an unknown set of edges,background_claim,powerful formulations scattered interpolation regularizer considered hold unknown set edges,powerful formulations formulations scattered scattered interpolation interpolation regularizer regularizer considered considered hold hold unknown unknown set set edges,powerful formulations scattered formulations scattered interpolation scattered interpolation regularizer interpolation regularizer considered regularizer considered hold considered hold unknown hold unknown set unknown set edges,0,0,,
this is the piecewise-smooth prior desirable in image reconstruction,background_claim,piecewise smooth prior desirable image reconstruction,piecewise smooth smooth prior prior desirable desirable image image reconstruction,piecewise smooth prior smooth prior desirable prior desirable image desirable image reconstruction,0,0,,
the unknown edges may exist,background_claim,unknown edges exist,unknown edges edges exist,unknown edges exist,0,0,may,
at any location in the domain,background_claim,location domain,location domain,,0,0,,
all combinations of possible edge locations must be considered,background_claim,combinations possible edge locations considered,combinations possible possible edge edge locations locations considered,combinations possible edge possible edge locations edge locations considered,0,0,must,
the interpolation cost is prima facie exponential in the surface resolution,background_claim,interpolation cost prima facie exponential surface resolution,interpolation cost cost prima prima facie facie exponential exponential surface surface resolution,interpolation cost prima cost prima facie prima facie exponential facie exponential surface exponential surface resolution,0,0,,
The crux of our approach is the identification of an appropriate space for defining deformations,own_claim,crux approach identification appropriate space defining deformations,crux approach approach identification identification appropriate appropriate space space defining defining deformations,crux approach identification approach identification appropriate identification appropriate space appropriate space defining space defining deformations,0,0,,
"the interpolation domain is (a subset of) the pose space of an articulated character, or equivalently the space defined by some set of parameters",own_claim,interpolation domain subset pose space articulated character equivalently space defined set parameters,interpolation domain domain subset subset pose pose space space articulated articulated character character equivalently equivalently space space defined defined set set parameters,interpolation domain subset domain subset pose subset pose space pose space articulated space articulated character articulated character equivalently character equivalently space equivalently space defined space defined set defined set parameters,0,0,,
In concept the range of the interpolation function could simply be the desired movement of the surface control vertices,own_claim,concept range interpolation function simply desired movement surface control vertices,concept range range interpolation interpolation function function simply simply desired desired movement movement surface surface control control vertices,concept range interpolation range interpolation function interpolation function simply function simply desired simply desired movement desired movement surface movement surface control surface control vertices,0,0,could,
the deforming surface is defined by p + δ,own_claim,deforming surface defined p + δ,deforming surface surface defined defined p p + + δ,deforming surface defined surface defined p defined p + p + δ,0,0,,
we instead interpolate the desired deviation of a surface vertex,own_claim,instead interpolate desired deviation surface vertex,instead interpolate interpolate desired desired deviation deviation surface surface vertex,instead interpolate desired interpolate desired deviation desired deviation surface deviation surface vertex,0,0,,
from its initially computed position,own_claim,initially computed position,initially computed computed position,initially computed position,0,0,,
Our scheme can be bootstrapped on top of an existing software system,own_claim,scheme bootstrapped existing software system,scheme bootstrapped bootstrapped existing existing software software system,scheme bootstrapped existing bootstrapped existing software existing software system,0,0,can,
the model is posed as desired and the desired surface at that pose is sculpted,own_claim,model posed desired desired surface pose sculpted,model posed posed desired desired desired desired surface surface pose pose sculpted,model posed desired posed desired desired desired desired surface desired surface pose surface pose sculpted,0,0,,
it would be desirable to allow deformations to change both continuously and discontinuously with respect to the pose space,own_claim,desirable allow deformations change continuously discontinuously respect pose space,desirable allow allow deformations deformations change change continuously continuously discontinuously discontinuously respect respect pose pose space,desirable allow deformations allow deformations change deformations change continuously change continuously discontinuously continuously discontinuously respect discontinuously respect pose respect pose space,0,0,would,
creature deformations that are discontinuous with respect to pose seem unlikely,own_claim,creature deformations discontinuous respect pose unlikely,creature deformations deformations discontinuous discontinuous respect respect pose pose unlikely,creature deformations discontinuous deformations discontinuous respect discontinuous respect pose respect pose unlikely,0,0,,
the expensive energy functional and non-convex schemes are not necessary,own_claim,expensive energy functional non convex schemes necessary,expensive energy energy functional functional non non convex convex schemes schemes necessary,expensive energy functional energy functional non functional non convex non convex schemes convex schemes necessary,0,1,,not
Together these comments support φ k (x) = exp( −( x−x 2σ 2 k ) 2 ) as one possible choice of radial basis,own_claim,comments support φ k x = exp − x−x 2σ 2 k 2 possible choice radial basis,comments support support φ φ k k x x = = exp exp − − x−x x−x 2σ 2σ 2 2 k k 2 2 possible possible choice choice radial radial basis,comments support φ support φ k φ k x k x = x = exp = exp − exp − x−x − x−x 2σ x−x 2σ 2 2σ 2 k 2 k 2 k 2 possible 2 possible choice possible choice radial choice radial basis,1,0,,
the width of this falloff should be selectable,own_claim,width falloff selectable,width falloff falloff selectable,width falloff selectable,0,0,should,
Figure 5,data,figure 5,figure 5,,0,0,,
Gaussian radial basis functions are reputed to be well behaved,background_claim,gaussian radial basis functions reputed behaved,gaussian radial radial basis basis functions functions reputed reputed behaved,gaussian radial basis radial basis functions basis functions reputed functions reputed behaved,0,0,,
Gaussian radial basis functions with adjustable placement and σ are discussed in the neural net literature,background_claim,gaussian radial basis functions adjustable placement σ discussed neural net literature,gaussian radial radial basis basis functions functions adjustable adjustable placement placement σ σ discussed discussed neural neural net net literature,gaussian radial basis radial basis functions basis functions adjustable functions adjustable placement adjustable placement σ placement σ discussed σ discussed neural discussed neural net neural net literature,0,0,,
optimizing over these parameters is possible,background_claim,optimizing parameters possible,optimizing parameters parameters possible,optimizing parameters possible,0,0,,
This issue does not arise in our application,own_claim,issue arise application,issue arise arise application,issue arise application,0,1,,not
the animator decides where in the parameter space to sculpt a pose,own_claim,animator decides parameter space sculpt pose,animator decides decides parameter parameter space space sculpt sculpt pose,animator decides parameter decides parameter space parameter space sculpt space sculpt pose,0,0,,
a 3(n − 1) pose space is defined,own_claim,3(n − 1 pose space defined,3(n − − 1 1 pose pose space space defined,3(n − 1 − 1 pose 1 pose space pose space defined,0,0,,
n = 2 pose controls are active,data,n = 2 pose controls active,n = = 2 2 pose pose controls controls active,n = 2 = 2 pose 2 pose controls pose controls active,0,0,,
each has three degrees of freedom,data,degrees freedom,degrees freedom,,0,0,,
the particular position of the controls defines a point in that space,own_claim,particular position controls defines point space,particular position position controls controls defines defines point point space,particular position controls position controls defines controls defines point defines point space,0,0,,
Any control vertices that have moved from their rest position are found,own_claim,control vertices moved rest position found,control vertices vertices moved moved rest rest position position found,control vertices moved vertices moved rest moved rest position rest position found,0,0,,
it is necessary to solve the interpolation problem,own_claim,necessary solve interpolation problem,necessary solve solve interpolation interpolation problem,necessary solve interpolation solve interpolation problem,0,0,,
several such deformations have been saved,data,deformations saved,deformations saved,,0,0,,
For each control vertex that was moved during sculpting there are now one or more δ values at points in the pose space,own_claim,control vertex moved sculpting δ values points pose space,control vertex vertex moved moved sculpting sculpting δ δ values values points points pose pose space,control vertex moved vertex moved sculpting moved sculpting δ sculpting δ values δ values points values points pose points pose space,0,0,,
the dimension of the pose space can vary across vertices,own_claim,dimension pose space vary vertices,dimension pose pose space space vary vary vertices,dimension pose space pose space vary space vary vertices,0,0,can,
a particular vertex might be modified in three sculpted deformations but a neighboring vertex might have been modified in only two deformations,data,particular vertex modified sculpted deformations neighboring vertex modified deformations,particular vertex vertex modified modified sculpted sculpted deformations deformations neighboring neighboring vertex vertex modified modified deformations,particular vertex modified vertex modified sculpted modified sculpted deformations sculpted deformations neighboring deformations neighboring vertex neighboring vertex modified vertex modified deformations,0,0,might might,
The interpolation is done independently for each control vertex,own_claim,interpolation independently control vertex,interpolation independently independently control control vertex,interpolation independently control independently control vertex,0,0,,
this has not been problematic,own_claim,problematic,,,0,1,,not
using patch surfaces,data,patch surfaces,patch surfaces,,0,0,,
in practice this has turned out to be the result of saving new deformations without moving any pose controls rather than a result of actual numerical problems,own_claim,practice turned result saving new deformations moving pose controls result actual numerical problems,practice turned turned result result saving saving new new deformations deformations moving moving pose pose controls controls result result actual actual numerical numerical problems,practice turned result turned result saving result saving new saving new deformations new deformations moving deformations moving pose moving pose controls pose controls result controls result actual result actual numerical actual numerical problems,0,0,,
Singular Φ T Φ is interpreted as a user error,own_claim,singular φ t φ interpreted user error,singular φ φ t t φ φ interpreted interpreted user user error,singular φ t φ t φ t φ interpreted φ interpreted user interpreted user error,0,0,,
For each deforming control vertex a δ is interpolated from the delta values at the stored poses using Eq. (1),own_claim,deforming control vertex δ interpolated delta values stored poses eq 1,deforming control control vertex vertex δ δ interpolated interpolated delta delta values values stored stored poses poses eq eq 1,deforming control vertex control vertex δ vertex δ interpolated δ interpolated delta interpolated delta values delta values stored values stored poses stored poses eq poses eq 1,0,0,,
At this point the model interpolates through the previously defined deformation(s),own_claim,point model interpolates previously defined deformation(s,point model model interpolates interpolates previously previously defined defined deformation(s,point model interpolates model interpolates previously interpolates previously defined previously defined deformation(s,0,0,,
The most recently defined deformation may extend too far (or not far enough) in pose space,own_claim,recently defined deformation extend far far pose space,recently defined defined deformation deformation extend extend far far far far pose pose space,recently defined deformation defined deformation extend deformation extend far extend far far far far pose far pose space,0,1,may,not
There is a rich literature of schemes for optimizing radial basis parameters including σ,background_claim,rich literature schemes optimizing radial basis parameters including σ,rich literature literature schemes schemes optimizing optimizing radial radial basis basis parameters parameters including including σ,rich literature schemes literature schemes optimizing schemes optimizing radial optimizing radial basis radial basis parameters basis parameters including parameters including σ,0,0,,
4,data,4,,,0,0,,
animators consider detailed control of the animation to be part of their craft and are quite happy to have interpolation parameters exposed to them,background_claim,animators consider detailed control animation craft happy interpolation parameters exposed,animators consider consider detailed detailed control control animation animation craft craft happy happy interpolation interpolation parameters parameters exposed,animators consider detailed consider detailed control detailed control animation control animation craft animation craft happy craft happy interpolation happy interpolation parameters interpolation parameters exposed,0,0,,
this potentially abstract parameter is comprehensible,own_claim,potentially abstract parameter comprehensible,potentially abstract abstract parameter parameter comprehensible,potentially abstract parameter abstract parameter comprehensible,0,0,,
it is possible to explore the effect of different values,data,possible explore effect different values,possible explore explore effect effect different different values,possible explore effect explore effect different effect different values,0,0,,
At a minimum axis-aligned scaling of the falloff should be available,own_claim,minimum axis aligned scaling falloff available,minimum axis axis aligned aligned scaling scaling falloff falloff available,minimum axis aligned axis aligned scaling aligned scaling falloff scaling falloff available,0,0,should,
Based on the evaluation the artist may decide to sculpt additional poses as needed to achieve the desired motion,own_claim,based evaluation artist decide sculpt additional poses needed achieve desired motion,based evaluation evaluation artist artist decide decide sculpt sculpt additional additional poses poses needed needed achieve achieve desired desired motion,based evaluation artist evaluation artist decide artist decide sculpt decide sculpt additional sculpt additional poses additional poses needed poses needed achieve needed achieve desired achieve desired motion,0,0,may,
the associated pose space is determined,own_claim,associated pose space determined,associated pose pose space space determined,associated pose space pose space determined,0,0,,
a deformed vertex is found,data,deformed vertex found,deformed vertex vertex found,deformed vertex found,0,0,,
there are previous deformations of this vertex in the same pose space,data,previous deformations vertex pose space,previous deformations deformations vertex vertex pose pose space,previous deformations vertex deformations vertex pose vertex pose space,0,0,,
the new deformation is simply another point to interpolate,own_claim,new deformation simply point interpolate,new deformation deformation simply simply point point interpolate,new deformation simply deformation simply point simply point interpolate,0,0,,
The new deformation’s pose space may,own_claim,new deformation pose space,new deformation deformation pose pose space,new deformation pose deformation pose space,0,0,may,
be different from the previous spaces associated with the vertex,own_claim,different previous spaces associated vertex,different previous previous spaces spaces associated associated vertex,different previous spaces previous spaces associated spaces associated vertex,0,0,,
a new pose space is started,own_claim,new pose space started,new pose pose space space started,new pose space pose space started,0,0,,
the δ is computed as a delta from the previous layered PSD synthesis rather than from the base model,own_claim,δ computed delta previous layered psd synthesis base model,δ computed computed delta delta previous previous layered layered psd psd synthesis synthesis base base model,δ computed delta computed delta previous delta previous layered previous layered psd layered psd synthesis psd synthesis base synthesis base model,0,0,,
This ensures that the previous deformations are interpolated while allowing the artist complete freedom in determining the extent of the deformation and the associated pose controls,own_claim,ensures previous deformations interpolated allowing artist complete freedom determining extent deformation associated pose controls,ensures previous previous deformations deformations interpolated interpolated allowing allowing artist artist complete complete freedom freedom determining determining extent extent deformation deformation associated associated pose pose controls,ensures previous deformations previous deformations interpolated deformations interpolated allowing interpolated allowing artist allowing artist complete artist complete freedom complete freedom determining freedom determining extent determining extent deformation extent deformation associated deformation associated pose associated pose controls,0,0,,
there is an issue of commutativity,own_claim,issue commutativity,issue commutativity,,0,0,,
artists consider this iterative layered refinement to be a natural process,own_claim,artists consider iterative layered refinement natural process,artists consider consider iterative iterative layered layered refinement refinement natural natural process,artists consider iterative consider iterative layered iterative layered refinement layered refinement natural refinement natural process,0,0,,
This is a well known issue,background_claim,known issue,known issue,,0,0,,
well behaved transformations are fundamental and are hopefully addressed early in the development of any character animation system,own_claim,behaved transformations fundamental hopefully addressed early development character animation system,behaved transformations transformations fundamental fundamental hopefully hopefully addressed addressed early early development development character character animation animation system,behaved transformations fundamental transformations fundamental hopefully fundamental hopefully addressed hopefully addressed early addressed early development early development character development character animation character animation system,0,0,,
With n poses three matrices of size n must be inverted for each surface control vertex,own_claim,n poses matrices size n inverted surface control vertex,n poses poses matrices matrices size size n n inverted inverted surface surface control control vertex,n poses matrices poses matrices size matrices size n size n inverted n inverted surface inverted surface control surface control vertex,0,0,must,
Typically n will be between 1 and 10,own_claim,typically n 1 10,typically n n 1 1 10,typically n 1 n 1 10,0,0,will,
this cost is small,own_claim,cost small,cost small,,0,0,,
it is incurred at a convenient time,own_claim,incurred convenient time,incurred convenient convenient time,incurred convenient time,0,0,,
during setup,data,setup,,,0,0,,
The cost of Eq. (1) is then not much greater than the cost of traditional shape interpolation,own_claim,cost eq 1 greater cost traditional shape interpolation,cost eq eq 1 1 greater greater cost cost traditional traditional shape shape interpolation,cost eq 1 eq 1 greater 1 greater cost greater cost traditional cost traditional shape traditional shape interpolation,0,1,,not
"For synthesis, the basis function φ(x) can be implemented by interpolated table lookup",own_claim,synthesis basis function φ(x implemented interpolated table lookup,synthesis basis basis function function φ(x φ(x implemented implemented interpolated interpolated table table lookup,synthesis basis function basis function φ(x function φ(x implemented φ(x implemented interpolated implemented interpolated table interpolated table lookup,0,0,can,
the sqrt required in the Euclidean distance can be composed with φ(x) in the table,own_claim,sqrt required euclidean distance composed φ(x table,sqrt required required euclidean euclidean distance distance composed composed φ(x φ(x table,sqrt required euclidean required euclidean distance euclidean distance composed distance composed φ(x composed φ(x table,0,0,can,
real time synthesis is possible with significant models on current machines,own_claim,real time synthesis possible significant models current machines,real time time synthesis synthesis possible possible significant significant models models current current machines,real time synthesis time synthesis possible synthesis possible significant possible significant models significant models current models current machines,0,0,,
"An articulated model such as a human will typically have a number of different deformation subspaces, each with one or several deformations",own_claim,articulated model human typically number different deformation subspaces deformations,articulated model model human human typically typically number number different different deformation deformation subspaces subspaces deformations,articulated model human model human typically human typically number typically number different number different deformation different deformation subspaces deformation subspaces deformations,0,0,will,
the deformations in different subspaces may overlap spatially,own_claim,deformations different subspaces overlap spatially,deformations different different subspaces subspaces overlap overlap spatially,deformations different subspaces different subspaces overlap subspaces overlap spatially,0,0,may,
The neck/chest/leg blend area of many quadrupeds is a more complex case,own_claim,neck chest leg blend area quadrupeds complex case,neck chest chest leg leg blend blend area area quadrupeds quadrupeds complex complex case,neck chest leg chest leg blend leg blend area blend area quadrupeds area quadrupeds complex quadrupeds complex case,0,0,,
the motion of the skin surface in these regions may depend on the relative configuration of several leg bones as well as the rib cage and possibly the neck region of the spine,own_claim,motion skin surface regions depend relative configuration leg bones rib cage possibly neck region spine,motion skin skin surface surface regions regions depend depend relative relative configuration configuration leg leg bones bones rib rib cage cage possibly possibly neck neck region region spine,motion skin surface skin surface regions surface regions depend regions depend relative depend relative configuration relative configuration leg configuration leg bones leg bones rib bones rib cage rib cage possibly cage possibly neck possibly neck region neck region spine,0,0,may,
PSD handles all these cases simply and uniformly,own_claim,psd handles cases simply uniformly,psd handles handles cases cases simply simply uniformly,psd handles cases handles cases simply cases simply uniformly,0,0,,
The application of PSD to facial animation is best described by comparison with shape interpolation,own_claim,application psd facial animation best described comparison shape interpolation,application psd psd facial facial animation animation best best described described comparison comparison shape shape interpolation,application psd facial psd facial animation facial animation best animation best described best described comparison described comparison shape comparison shape interpolation,0,0,,
In both approaches a set of key shapes (or delta shapes) are sculpted,own_claim,approaches set key shapes delta shapes sculpted,approaches set set key key shapes shapes delta delta shapes shapes sculpted,approaches set key set key shapes key shapes delta shapes delta shapes delta shapes sculpted,0,0,,
The same set of shapes can be used in both approaches,own_claim,set shapes approaches,set shapes shapes approaches,set shapes approaches,0,0,can,
shape interpolation is,background_claim,shape interpolation,shape interpolation,,0,0,,
a superposition of a set of shapes,background_claim,superposition set shapes,superposition set set shapes,superposition set shapes,0,0,,
PSD interpolates among these shapes,own_claim,psd interpolates shapes,psd interpolates interpolates shapes,psd interpolates shapes,0,0,,
The animator’s task in PSD is to choose the interpolation path,own_claim,animator task psd choose interpolation path,animator task task psd psd choose choose interpolation interpolation path,animator task psd task psd choose psd choose interpolation choose interpolation path,0,0,,
With SI the animator’s task is to choose the interpolation path but also solve the problem of representing this path by using a set of (non-orthogonal!) basis shapes,background_claim,si animator task choose interpolation path solve problem representing path set non orthogonal basis shapes,si animator animator task task choose choose interpolation interpolation path path solve solve problem problem representing representing path path set set non non orthogonal orthogonal basis basis shapes,si animator task animator task choose task choose interpolation choose interpolation path interpolation path solve path solve problem solve problem representing problem representing path representing path set path set non set non orthogonal non orthogonal basis orthogonal basis shapes,0,0,,
In practice this has been considered the major difficulty in applying SI,background_claim,practice considered major difficulty applying si,practice considered considered major major difficulty difficulty applying applying si,practice considered major considered major difficulty major difficulty applying difficulty applying si,0,0,,
high quality animation demands large numbers of basis shapes,data,high quality animation demands large numbers basis shapes,high quality quality animation animation demands demands large large numbers numbers basis basis shapes,high quality animation quality animation demands animation demands large demands large numbers large numbers basis numbers basis shapes,0,0,,
